Time,Competitor,Operation,OrderId,Instrument,Side,Volume,Price,Lifespan,Fee
0.057308,,Insert,46807247,0,B,3000,37607,G,
0.057375,,Insert,46807279,0,A,1000,37669,G,
0.057516,,Cancel,46807167,,,-60,,,
0.057597,,Cancel,46806931,,,-1000,,,
0.057724,,Insert,46807427,0,B,1000,37613,G,
0.058364,,Insert,46807615,0,B,3000,37607,G,
0.058366,,Insert,46807619,0,A,3000,37638,G,
0.058716,,Cancel,46805295,,,-4000,,,
0.058716,,Insert,46807707,0,B,4000,37613,G,
0.05872,,Cancel,46806291,,,-280,,,
0.058747,,Insert,46807711,0,B,270,37615,G,
0.058851,,Cancel,46806259,,,-1000,,,
0.058858,,Insert,46807735,0,A,1000,37634,G,
0.059149,,Cancel,46807215,,,-1000,,,
0.059602,,Cancel,46807427,,,-1000,,,
0.060307,,Insert,46807911,0,A,3000,37638,G,
0.061551,,Insert,46808131,0,B,1000,37616,G,
0.06159,,Insert,46808135,0,B,1000,37616,G,
0.06164,,Insert,46808139,0,B,1000,37613,G,
0.061678,,Cancel,46808135,,,-1000,,,
0.062516,,Cancel,46808139,,,-1000,,,
0.064671,,Insert,46808571,0,B,80,37616,G,
0.065705,,Cancel,46808571,,,-80,,,
0.068724,,Cancel,46808131,,,-1000,,,
0.069715,,Insert,46809255,0,A,1000,37623,G,
0.070541,,Cancel,46807711,,,-270,,,
0.070547,,Insert,46809563,0,A,8000,37617,G,
0.070548,,Cancel,46807707,,,-4000,,,
0.070548,,Insert,46809571,0,B,4000,37612,G,
0.070701,,Insert,46809671,0,B,180,37615,G,
0.07081,,Insert,46809711,0,A,40,37617,G,
0.071151,,Cancel,46809563,,,-8000,,,
0.071178,,Insert,46809807,0,B,90,37615,G,
0.072278,,Cancel,46809711,,,-40,,,
0.072356,,Insert,46810015,0,B,1000,37616,G,
0.072387,,Insert,46810027,0,B,1000,37616,G,
0.072415,,Cancel,46810027,,,-1000,,,
0.082054,,Cancel,46807735,,,-1000,,,
0.08343,,Cancel,46804963,,,-4000,,,
0.09059,,Insert,46812135,0,B,270,37616,G,
0.090639,,Insert,46812143,0,B,1000,37600,G,
0.090657,,Insert,46812147,0,B,1000,37613,G,
0.097102,,Cancel,46810015,,,-1000,,,
0.097127,,Cancel,46812135,,,-270,,,
0.097147,,Cancel,46812147,,,-1000,,,
0.097212,,Insert,46812815,0,B,1000,37616,G,
0.097605,,Cancel,46812815,,,-1000,,,
0.098735,,Insert,46813275,0,B,1000,37616,G,
0.098841,,Cancel,46813275,,,-1000,,,
0.100287,,Insert,46813743,0,A,1000,37632,G,
0.100714,,Insert,46813871,0,A,8000,37617,G,
0.101108,,Cancel,46809807,,,-90,,,
0.101114,,Insert,46814003,0,A,4000,37618,G,
0.101114,,Cancel,46809671,,,-180,,,
0.101119,,Insert,46814011,0,A,1000,37617,G,
0.101119,,Insert,46814015,0,B,270,37614,G,
0.101119,,Insert,46814019,0,A,8000,37617,G,
0.101212,,Insert,46814055,0,A,50,37617,G,
0.101218,,Insert,46814063,0,A,1000,37617,G,
0.101228,,Insert,46814067,0,A,1000,37617,G,
0.101316,,Insert,46814111,0,B,1000,37615,G,
0.101356,,Cancel,46807027,,,-1000,,,
0.101356,,Insert,46814127,0,A,1000,40198,G,
0.101373,,Cancel,46814011,,,-1000,,,
0.101373,,Insert,46814143,0,A,1000,37616,G,
0.101373,,Cancel,46814063,,,-1000,,,
0.101373,,Insert,46814147,0,A,1000,37616,G,
0.101373,,Cancel,46814067,,,-1000,,,
0.101373,,Insert,46814151,0,A,1000,37616,G,
0.101379,,Insert,46814155,0,A,3000,37617,G,
0.101385,,Insert,46814159,0,A,3000,37616,G,
0.101394,,Cancel,46806879,,,-1000,,,
0.101394,,Insert,46814167,0,B,1000,34929,G,
0.101398,,Cancel,46802271,,,-3000,,,
0.101414,,Cancel,46813871,,,-8000,,,
0.101417,,Cancel,46814019,,,-8000,,,
0.101427,,Insert,46814199,0,A,1000,37616,G,
0.101427,,Cancel,46803791,,,-1000,,,
0.101446,,Cancel,46814143,,,-1000,,,
0.101809,,Cancel,46812143,,,-1000,,,
0.102321,,Cancel,46814151,,,-1000,,,
0.102543,,Insert,46814791,0,B,80,37615,G,
0.102554,,Cancel,46813743,,,-1000,,,
0.102618,,Cancel,46814155,,,-3000,,,
0.102619,,Cancel,46814159,,,-3000,,,
0.102692,,Insert,46814843,0,B,190,37615,G,
0.102714,,Cancel,46814147,,,-1000,,,
0.10298,,Insert,46814891,0,B,1000,37612,G,
0.10316,,Insert,46814935,0,A,1000,37616,G,
0.103251,,Insert,46814967,0,B,1000,37615,G,
0.103258,,Cancel,46814935,,,-1000,,,
0.10335,,Insert,46814991,0,B,1000,37615,G,
0.103855,,Insert,46815067,0,A,1000,37616,G,
0.105542,,Cancel,46814111,,,-1000,,,
0.105547,,Cancel,46814991,,,-1000,,,
0.105574,,Cancel,46814891,,,-1000,,,
0.105597,,Cancel,46814791,,,-80,,,
0.105597,,Cancel,46814843,,,-190,,,
0.10565,,Insert,46815259,0,B,1000,37615,G,
0.106294,,Cancel,46814967,,,-1000,,,
0.106296,,Insert,46815351,0,A,1000,37616,G,
0.106301,,Cancel,46815259,,,-1000,,,
0.10631,,Insert,1267379,0,A,20,37615,F,
0.10631,,Cancel,1267379,,,-20,,,
0.10631,,Insert,1267380,0,A,100,37615,F,
0.10631,,Cancel,1267380,,,-100,,,
0.106335,,Insert,46815367,0,A,300,37616,G,
0.107023,,Insert,46815607,0,B,1000,37615,G,
0.107044,,Cancel,46815367,,,-300,,,
0.108708,,Cancel,46815607,,,-1000,,,
0.110009,,Insert,46816179,0,B,1000,37615,G,
0.110154,,Cancel,46816179,,,-1000,,,
0.110522,,Insert,46816299,0,B,1000,37615,G,
0.112307,,Cancel,46814015,,,-270,,,
0.112311,,Cancel,46816299,,,-1000,,,
0.112384,,Insert,46816639,0,A,1000,37616,G,
0.112502,,Insert,46816675,0,B,270,37613,G,
0.112533,,Cancel,46809571,,,-4000,,,
0.112533,,Insert,46816687,0,B,4000,37611,G,
